J93-1002	A92-1018	0.00196078431372549 0.00196078431372549 0.0 0.0 0.00196078431372549 0.0	1
P93-1003	A92-1018	0.007575757575757576 0.007575757575757576 0.0 0.0 0.0 0.007575757575757576	1
A94-1008	A92-1018	0.016042780748663103 0.016042780748663103 0.0 0.0 0.0053475935828877 0.0	0
A94-1009	A92-1018	0.026455026455026454 0.042328042328042326 0.0 0.0 0.0 0.005291005291005291	0
A94-1027	A92-1018	0.005263157894736842 0.005263157894736842 0.0 0.0 0.0 0.0	1
C94-1027	A92-1018	0.03571428571428571 0.03571428571428571 0.00510204081632653 0.0 0.015306122448979591 0.0	0
J94-2001	A92-1018	0.005555555555555556 0.005555555555555556 0.0 0.0 0.005555555555555556 0.0	1
W94-0111	A92-1018	0.005291005291005291 0.005291005291005291 0.0 0.0 0.005291005291005291 0.0	1
E95-1014	A92-1018	0.014184397163120567 0.014184397163120567 0.0 0.0 0.0 0.0	1
E95-1020	A92-1018	0.010471204188481676 0.010471204188481676 0.0 0.0 0.005235602094240838 0.0	1
E95-1021	A92-1018	0.008771929824561403 0.008771929824561403 0.0 0.0 0.0 0.0	0
E95-1022	A92-1018	0.011834319526627219 0.01775147928994083 0.0 0.0 0.005917159763313609 0.0	1
J95-2001	A92-1018	0.0024449877750611247 0.004889975550122249 0.0 0.0 0.0024449877750611247 0.0	1
J95-2004	A92-1018	0.004246284501061571 0.004246284501061571 0.0 0.0 0.0021231422505307855 0.0	1
J95-3004	A92-1018	0.0024390243902439024 0.0024390243902439024 0.0 0.0 0.0024390243902439024 0.0	1
J95-4004	A92-1018	0.007518796992481203 0.007518796992481203 0.0 0.0 0.007518796992481203 0.0	1
P95-1039	A92-1018	0.009174311926605505 0.009174311926605505 0.0 0.0 0.009174311926605505 0.0	1
W95-0101	A92-1018	0.016042780748663103 0.016042780748663103 0.0 0.0 0.0 0.0106951871657754	1
C96-1036	A92-1018	0.008333333333333333 0.008333333333333333 0.0 0.0 0.008333333333333333 0.0	1
C96-2114	A92-1018	0.005494505494505495 0.027472527472527472 0.0 0.0 0.0 0.0	1
C96-2136	A92-1018	0.0091324200913242 0.0091324200913242 0.0 0.0 0.0045662100456621 0.0	1
C96-2192	A92-1018	0.01020408163265306 0.01020408163265306 0.0 0.0 0.01020408163265306 0.0	1
P96-1006	A92-1018	0.005076142131979695 0.005076142131979695 0.0 0.0 0.005076142131979695 0.0	1
P96-1030	A92-1018	0.005847953216374269 0.005847953216374269 0.0 0.0 0.005847953216374269 0.0	1
W96-0101	A92-1018	0.014084507042253521 0.018779342723004695 0.0 0.0 0.014084507042253521 0.009389671361502348	1
W96-0102	A92-1018	0.0026455026455026454 0.005291005291005291 0.0 0.0 0.0026455026455026454 0.0026455026455026454	1
W96-0113	A92-1018	0.003816793893129771 0.007633587786259542 0.0 0.0 0.0 0.0	1
W96-0205	A92-1018	0.003355704697986577 0.003355704697986577 0.0 0.0 0.003355704697986577 0.0	1
W96-0206	A92-1018	0.00425531914893617 0.00425531914893617 0.0 0.0 0.0 0.00425531914893617	1
A97-1004	A92-1018	0.010526315789473684 0.010526315789473684 0.0 0.0 0.0 0.0	1
A97-1014	A92-1018	0.004132231404958678 0.008264462809917356 0.0 0.0 0.004132231404958678 0.0	1
A97-1017	A92-1018	0.011299435028248588 0.011299435028248588 0.0 0.0 0.005649717514124294 0.0	0
J97-3003	A92-1018	0.006269592476489028 0.006269592476489028 0.0 0.0 0.0 0.0	1
P97-1029	A92-1018	0.005319148936170213 0.005319148936170213 0.0 0.0 0.005319148936170213 0.005319148936170213	1
P97-1031	A92-1018	0.004694835680751174 0.004694835680751174 0.0 0.0 0.004694835680751174 0.0	1
P97-1032	A92-1018	0.006896551724137931 0.006896551724137931 0.0 0.0 0.006896551724137931 0.0	1
W97-0307	A92-1018	0.003861003861003861 0.003861003861003861 0.0 0.0 0.003861003861003861 0.0	1
W97-0811	A92-1018	0.010526315789473684 0.010526315789473684 0.0 0.0 0.0 0.010526315789473684	0
C98-1060	A92-1018	0.006329113924050633 0.006329113924050633 0.0 0.0 0.006329113924050633 0.0	1
W98-1110	A92-1018	0.012195121951219513 0.012195121951219513 0.0 0.0 0.0 0.0	0
W98-1207	A92-1018	0.004366812227074236 0.004366812227074236 0.0 0.0 0.004366812227074236 0.0	1
E99-1018	A92-1018	0.014925373134328358 0.014925373134328358 0.0 0.0 0.014925373134328358 0.0	1
W99-0608	A92-1018	0.005434782608695652 0.005434782608695652 0.0 0.0 0.005434782608695652 0.0	1
A00-1026	A92-1018	0.007142857142857143 0.007142857142857143 0.0 0.0 0.0 0.0	0
A00-1031	A92-1018	0.004807692307692308 0.004807692307692308 0.0 0.0 0.004807692307692308 0.0	1
C00-1004	A92-1018	0.004784688995215311 0.009569377990430622 0.0 0.0 0.0 0.0	1
N01-1023	A92-1018	0.004761904761904762 0.004761904761904762 0.0 0.0 0.0 0.0	0
J02-1004	A92-1018	0.006896551724137931 0.006896551724137931 0.0 0.0 0.0034482758620689655 0.0	1
W03-1314	A92-1018	0.005494505494505495 0.005494505494505495 0.0 0.0 0.0 0.0	1
W04-1211	A92-1018	0.010101010101010102 0.010101010101010102 0.0 0.0 0.010101010101010102 0.0	1
W04-2010	A92-1018	0.0041841004184100415 0.0041841004184100415 0.0 0.0 0.0 0.0	1
W04-2602	A92-1018	0.004651162790697674 0.013953488372093023 0.0 0.0 0.0 0.0	0
W04-2611	A92-1018	0.006134969325153374 0.006134969325153374 0.0 0.0 0.006134969325153374 0.0	1
W04-3112	A92-1018	0.00641025641025641 0.00641025641025641 0.0 0.0 0.00641025641025641 0.0	0
H05-1052	A92-1018	0.006211180124223602 0.006211180124223602 0.0 0.0 0.0 0.0	1
W05-0708	A92-1018	0.004901960784313725 0.004901960784313725 0.0 0.0 0.004901960784313725 0.0	1
E06-1034	A92-1018	0.005050505050505051 0.005050505050505051 0.0 0.0 0.0 0.0	1
N06-1042	A92-1018	0.003937007874015748 0.007874015748031496 0.0 0.0 0.0 0.0	1
P06-2100	A92-1018	0.005555555555555556 0.005555555555555556 0.0 0.0 0.005555555555555556 0.0	1
