J93-1002	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
P93-1003	A92-1018	1.0 1.0 0.0 0.0 0.0 0.0 1.0	1
A94-1008	A92-1018	3.0 3.0 0.0 1.0 0.0 1.0 0.0	0
A94-1009	A92-1018	5.0 8.0 0.0 0.0 0.0 0.0 1.0	0
A94-1027	A92-1018	1.0 1.0 0.0 0.0 0.0 0.0 0.0	1
C94-1027	A92-1018	7.0 7.0 1.0 1.0 0.0 3.0 0.0	0
J94-2001	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
W94-0111	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
E95-1014	A92-1018	2.0 2.0 0.0 0.0 0.0 0.0 0.0	1
E95-1020	A92-1018	2.0 2.0 0.0 0.0 1.0 1.0 0.0	1
E95-1021	A92-1018	2.0 2.0 0.0 0.0 0.0 0.0 0.0	0
E95-1022	A92-1018	2.0 3.0 0.0 0.0 0.0 1.0 0.0	1
J95-2001	A92-1018	1.0 2.0 0.0 0.0 0.0 1.0 0.0	1
J95-2004	A92-1018	2.0 2.0 0.0 0.0 0.0 1.0 0.0	1
J95-3004	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
J95-4004	A92-1018	3.0 3.0 0.0 0.0 0.0 3.0 0.0	1
P95-1039	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
W95-0101	A92-1018	3.0 3.0 0.0 0.0 0.0 0.0 2.0	1
C96-1036	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
C96-2114	A92-1018	1.0 5.0 0.0 0.0 0.0 0.0 0.0	1
C96-2136	A92-1018	2.0 2.0 0.0 0.0 0.0 1.0 0.0	1
C96-2192	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
P96-1006	A92-1018	1.0 1.0 0.0 0.0 1.0 1.0 0.0	1
P96-1030	A92-1018	1.0 1.0 0.0 0.0 0.0 1.0 0.0	1
W96-0101	A92-1018	3.0 4.0 0.0 0.0 0.0 3.0 2.0	1
W96-0102	A92-1018	1.0 2.0 0.0 0.0 0.0 1.0 1.0	1
W96-0113	A92-1018	1.0 2.0 0.0 0.0 0.0 0.0 0.0	1
W96-0205	A92-1018	1.0 1.0 0.0 0.0 1.0 1.0 0.0	1
W96-0206	A92-1018	1.0 1.0 0.0 0.0 0.0 0.0 1.0	1
A97-1004	A92-1018	1.0 1.0 0.0 0.0 0.0 0.0 0.0	1
A97-1014	A92-1018	1.0 2.0 0.0 0.0 0.0 1.0 0.0	1
